Fiume,Portata (m³/s),Valore x
Amazon–Ucayali–Tambo–Ene–Mantaro,209000,1247.73
Amu Darya,2560,15.2832
Amur–Argun,11000,65.67
Aras,285,1.70145
Arkansas,800,4.776
Barito,800,4.776
Beni,14130,84.3561
Blue Nile,5600,33.432
Brahmaputra–Tsangpo,19800,118.206
Chishui,3800,22.686
Churchill,529,3.15813
Colorado,642,3.83274
Columbia–Snake,7420,44.2974
Congo–Chambeshi,41300,246.561
Danube,6450,38.5065
Desna,360,2.1492
Dnieper,1670,9.9699
Dniester,310,1.8507
Douro,423,2.52531
Drava,580,3.4626
Ebro,426,2.54322
Fraser,348,2.07756
Ganges,16000,95.52
Godavari,3085,18.41745
Guaporé,35000,208.95
Han,2417,14.42949
Indus,6000,35.82
Irrawaddy,13159,78.55923
Khatanga,4100,24.477
Kolyma,3910,23.3427
Kuskokwim,1600,9.552
Lena,16400,97.908
Liao,500,2.985
Liard,3513,20.97261
Limpopo,340,2.0298
Loire,802,4.78794
Lower Tunguska,4780,28.5366
Mackenzie,9700,57.909
Mackenzie–Slave–Finlay–Peace,9700,57.909
Madeira–Mamoré–Grande–Caine–Rocha,31000,185.07
Magdalena,7150,42.6855
Mahanadi,2100,12.537
Mekong–Lancang,16000,95.52
Meuse,357,2.13129
Mississippi–Missouri–Jefferson–Beaverhead–Red Rock–Hell Roaring,16200,96.714
Mures,185,1.10445
Murray–Darling,767,4.57899
Nelson–Saskatchewan,2370,14.1489
Neman,678,4.04766
Neva,2490,14.8653
Niger,6000,35.82
Nile–White Nile–Blue Nile,2800,16.716
Ob–Irtysh,12800,76.416
Olenek,1400,8.358
Olenyok,1210,7.2237
Orinoco,33000,197.01
Pechora,4040,24.1188
Po,3000,17.91
Purús,8400,50.148
Red River,1250,7.4625
Red River of the North,288,1.71936
Rhine,2900,17.313
Río de la Plata–Paraná–Rio Grande,25700,153.429
Rio Grande,160,0.9552
Rio Negro,29060,173.4882
Saint Lawrence–Great Lakes,10400,62.088
Salween,16300,97.311
Sanaga,1925,11.49225
São Francisco,2850,17.0145
Seine,470,2.8059
Sepik,101,0.60297
Seversky Donets,160,0.9552
Shatt al-Arab–Euphrates–Tigris,1350,8.0595
Shinano,546,3.25962
Sutlej,500,2.985
Syr Darya–Naryn,1210,7.2237
Tagus,430,2.5671
Tapajós,25698,153.41706
Teles Pires,5300,31.641
Tigris,1200,7.164
Tocantins,13700,81.789
Tocantins–Araguaia,13700,81.789
Trombetas,4055,24.20835
Ural,800,4.776
Uruguay,4900,29.253
Vilyuy,1350,8.0595
Vistula,1080,6.4476
Volga,8060,48.1182
Vychegda,1795,10.71615
Xingu,9600,57.312
Yangtze,31900,190.443
Yellow River,2110,12.5967
Yenisei–Angara–Selenge–Ider,19800,118.206
Yukon,6430,38.3871
Zambezi,4900,29.253
